TransactionID,CustomerID,TransactionDate,TransactionType,Amount,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,CreditCardFees,InsuranceFees,LatePaymentAmount,CustomerScore,MonthlyIncome,CustomerSegment,RecommendedOffer
87,7736,25/08/2024 00:00,Withdrawal,11154.91219,Loan,Platinum,Madrid,40.4168,-3.7038,Branch,EUR,0,41.33,0,809,2952.17,,Y
88,1391,26/10/2023 00:00,Loan Payment,5110.551794,Checking Account,Gold,Bilbao,43.263,-2.935,Branch,USD,0,0,124.59,472,3676.52,,Y
89,6892,06/01/2023 00:00,Card Payment,174.2047693,Credit Card,Student,Murcia,37.9847,-1.1287,Branch,EUR,6.25,0,0,454,9949.31,,Y
90,4561,25/03/2025 00:00,Fee,14403.51844,Mortgage,Gold,Seville,37.3891,-5.9845,Mobile,EUR,0,0,0,570,5640.03,,Y
91,7184,05/06/2023 00:00,Deposit,8843.364133,Mortgage,Gold,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,529,2879.46,,Y
92,4099,10/11/2023 00:00,Card Payment,8884.532582,Mortgage,Platinum,Murcia,37.9847,-1.1287,Online,USD,0,0,0,364,3740.15,,Y
93,7278,29/03/2025 00:00,Deposit,13549.26196,Mortgage,Standard,Barcelona,41.3874,2.1686,Online,USD,0,0,0,839,2850.57,,Y
94,9392,12/03/2024 00:00,Deposit,6496.194638,Credit Card,Student,Valencia,39.4699,-0.3763,Mobile,EUR,44.32,0,0,545,9661.93,,Y
95,4104,13/09/2023 00:00,Deposit,5957.913423,Loan,Gold,Bilbao,43.263,-2.935,Online,USD,0,65.65,0,755,5414.57,,Y
96,8215,23/07/2024 00:00,Withdrawal,1343.182044,Loan,Standard,Valencia,39.4699,-0.3763,Online,EUR,0,91.45,0,326,5306.45,,Y
97,3454,19/01/2024 00:00,Loan Payment,9411.918843,Credit Card,Student,Barcelona,41.3874,2.1686,Online,EUR,23.11,0,1.07,629,5163.5,,Y
98,9996,02/03/2024 00:00,Deposit,985.9744394,Loan,Platinum,Seville,37.3891,-5.9845,Online,USD,0,97.39,0,424,7744.14,,Y
99,3731,07/10/2024 00:00,Card Payment,1673.862323,Credit Card,Student,Madrid,40.4168,-3.7038,ATM,EUR,5.38,0,0,797,2442.28,,Y
100,9154,12/09/2023 00:00,Card Payment,8017.889437,Credit Card,Business,Bilbao,43.263,-2.935,Online,EUR,21.5,0,0,407,2025.61,,Y
101,6056,23/06/2024 00:00,Withdrawal,6095.400294,Loan,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0,29.84,0,447,2550.53,,Y
102,9110,01/04/2023 00:00,Loan Payment,2223.654275,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,78.06,158.43,353,4587.56,,Y
103,4840,09/02/2024 00:00,Loan Payment,2806.01726,Credit Card,Business,Zaragoza,41.6488,-0.8891,Branch,EUR,11.45,0,115.8,632,6515.67,,Y
104,2028,28/01/2025 00:00,Fee,7751.273232,Checking Account,Standard,Seville,37.3891,-5.9845,Online,EUR,0,0,0,568,8404.27,,Y
105,8385,02/12/2023 00:00,Transfer,2915.203766,Savings Account,Gold,Barcelona,41.3874,2.1686,Mobile,EUR,0,0,0,425,3015.96,,Y
106,1502,16/05/2024 00:00,Deposit,5992.92216,Mortgage,Business,Madrid,40.4168,-3.7038,Branch,EUR,0,0,0,846,7179.39,,Y
107,7910,12/08/2024 00:00,Withdrawal,8571.745184,Credit Card,Platinum,Seville,37.3891,-5.9845,ATM,EUR,11.28,0,0,713,5022.64,,Y
108,7938,28/08/2024 00:00,Loan Payment,5962.569575,Loan,Business,Murcia,37.9847,-1.1287,Mobile,EUR,0,84.77,50.65,480,8514.54,,Y
109,5488,05/11/2023 00:00,Fee,3018.779873,Credit Card,Business,Seville,37.3891,-5.9845,Online,EUR,40.07,0,0,576,2071.52,,Y
110,1206,12/02/2024 00:00,Transfer,2049.427257,Loan,Gold,Seville,37.3891,-5.9845,Branch,EUR,0,65.53,0,660,8679.8,,Y
111,6134,17/12/2024 00:00,Loan Payment,7284.370961,Credit Card,Business,Bilbao,43.263,-2.935,Branch,EUR,25.16,0,174.11,722,1124.06,,Y
112,6977,08/02/2025 00:00,Loan Payment,7407.963479,Loan,Student,Bilbao,43.263,-2.935,Mobile,EUR,0,19.68,93.13,432,2928.71,,Y
113,8721,18/08/2024 00:00,Deposit,727.2481883,Checking Account,Gold,Zaragoza,41.6488,-0.8891,Online,EUR,0,0,0,450,6983.29,,Y
114,8035,15/06/2023 00:00,Transfer,2953.172904,Savings Account,Student,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,833,4794.28,,Y
115,2484,02/03/2024 00:00,Transfer,1990.238246,Loan,Business,Bilbao,43.263,-2.935,Online,USD,0,92.5,0,596,8697.73,,Y
116,8858,01/12/2024 00:00,Withdrawal,7655.499366,Checking Account,Student,Barcelona,41.3874,2.1686,Branch,EUR,0,0,0,815,7309.18,,Y
117,1863,21/02/2024 00:00,Fee,1299.1361,Savings Account,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,692,2667.94,,Y
118,3790,11/04/2025 00:00,Card Payment,8645.792312,Loan,Platinum,Malaga,36.7213,-4.4214,Branch,EUR,0,14.09,0,499,3312.59,,Y
119,8408,17/05/2024 00:00,Withdrawal,9780.136306,Mortgage,Business,Madrid,40.4168,-3.7038,ATM,EUR,0,0,0,392,1029.97,,Y
120,9755,16/05/2024 00:00,Fee,6765.326824,Credit Card,Student,Murcia,37.9847,-1.1287,ATM,EUR,6.49,0,0,830,1922.64,,Y
121,6116,20/06/2024 00:00,Withdrawal,4211.480993,Credit Card,Business,Murcia,37.9847,-1.1287,Branch,EUR,44.83,0,0,788,8374.37,,Y
122,7019,25/06/2023 00:00,Fee,736.1105179,Credit Card,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,43.19,0,0,615,1529.48,,Y
123,2757,11/06/2023 00:00,Card Payment,12168.41381,Loan,Student,Barcelona,41.3874,2.1686,Branch,USD,0,31.24,0,624,7398.72,,Y
124,8574,25/04/2023 00:00,Deposit,2865.759079,Mortgage,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,0,0,0,594,5564.59,,Y
125,7374,21/04/2024 00:00,Fee,11472.19976,Mortgage,Student,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,0,601,5738.93,,Y
126,7892,12/04/2023 00:00,Card Payment,2062.683789,Mortgage,Gold,Zaragoza,41.6488,-0.8891,Mobile,USD,0,0,0,750,8599.04,,Y
127,2678,12/12/2024 00:00,Withdrawal,1406.214855,Savings Account,Business,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,452,7403.54,,Y
128,4242,26/11/2023 00:00,Transfer,6957.247916,Loan,Student,Seville,37.3891,-5.9845,Online,EUR,0,34.39,0,430,4811.89,,Y
129,5636,03/02/2023 00:00,Loan Payment,3228.769229,Checking Account,Student,Malaga,36.7213,-4.4214,Mobile,EUR,0,0,143.26,408,9294.06,,Y
130,2059,11/09/2023 00:00,Card Payment,4780.10097,Savings Account,Gold,Valencia,39.4699,-0.3763,Mobile,EUR,0,0,0,302,6929.65,,Y
131,7668,04/03/2024 00:00,Card Payment,10527.10142,Loan,Standard,Murcia,37.9847,-1.1287,Online,EUR,0,52.52,0,532,5830.5,,Y
132,4157,28/11/2023 00:00,Card Payment,13735.76412,Mortgage,Gold,Barcelona,41.3874,2.1686,ATM,EUR,0,0,0,562,9346.26,,Y
133,6915,13/12/2023 00:00,Fee,7959.612012,Loan,Student,Zaragoza,41.6488,-0.8891,Branch,EUR,0,31.59,0,559,7807.33,,Y
134,3693,15/04/2023 00:00,Fee,3273.465287,Mortgage,Standard,Zaragoza,41.6488,-0.8891,Branch,EUR,0,0,0,847,2947.44,,Y
135,4627,07/08/2023 00:00,Transfer,4046.96438,Checking Account,Platinum,Murcia,37.9847,-1.1287,ATM,EUR,0,0,0,596,3496,,Y
136,6450,23/07/2023 00:00,Deposit,11409.87344,Mortgage,Business,Zaragoza,41.6488,-0.8891,ATM,USD,0,0,0,344,5497.9,,Y
137,2663,14/12/2024 00:00,Withdrawal,327.4863082,Savings Account,Standard,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,667,1073.62,,Y
138,6592,28/04/2023 00:00,Deposit,10718.51275,Loan,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,0,21.33,0,672,9733,,Y
139,8392,06/11/2023 00:00,Fee,6179.03632,Credit Card,Student,Madrid,40.4168,-3.7038,Online,EUR,31.01,0,0,388,6498.58,,Y
140,2306,07/10/2023 00:00,Fee,10785.26926,Mortgage,Standard,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,376,9448.96,,Y
141,7776,02/05/2025 00:00,Card Payment,10349.49163,Mortgage,Gold,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,551,8144.91,,Y
142,6864,01/08/2023 00:00,Card Payment,8293.702244,Credit Card,Business,Barcelona,41.3874,2.1686,Mobile,EUR,32.1,0,0,365,3327.66,,Y
143,8526,27/07/2023 00:00,Deposit,441.1094023,Savings Account,Gold,Bilbao,43.263,-2.935,ATM,EUR,0,0,0,434,3216.56,,Y
144,9901,21/12/2023 00:00,Withdrawal,2945.011275,Checking Account,Gold,Barcelona,41.3874,2.1686,Branch,EUR,0,0,0,720,5890.59,,Y
145,6575,19/03/2023 00:00,Fee,3923.235026,Checking Account,Business,Zaragoza,41.6488,-0.8891,Online,EUR,0,0,0,840,2177.58,,Y
146,6530,28/09/2023 00:00,Fee,2728.725019,Savings Account,Gold,Valencia,39.4699,-0.3763,ATM,EUR,0,0,0,325,1713.13,,Y
147,5413,27/11/2023 00:00,Deposit,11703.86637,Loan,Student,Malaga,36.7213,-4.4214,Branch,EUR,0,24.92,0,745,8971.62,,Y
148,4748,08/09/2023 00:00,Loan Payment,338.5928201,Checking Account,Gold,Barcelona,41.3874,2.1686,ATM,EUR,0,0,152.41,688,9060.84,,Y
149,1663,16/12/2024 00:00,Card Payment,4322.291532,Savings Account,Student,Seville,37.3891,-5.9845,Online,EUR,0,0,0,643,6621.95,,Y
150,2998,10/06/2024 00:00,Transfer,8229.949784,Mortgage,Gold,Bilbao,43.263,-2.935,ATM,USD,0,0,0,712,5585,,Y
151,8994,24/02/2023 00:00,Fee,5429.339591,Credit Card,Student,Bilbao,43.263,-2.935,Branch,EUR,32.1,0,0,717,1736.58,,Y
152,2495,14/03/2024 00:00,Withdrawal,3985.790714,Loan,Standard,Barcelona,41.3874,2.1686,Mobile,USD,0,38.99,0,700,4981.79,,Y
153,4304,23/07/2023 00:00,Loan Payment,7995.880336,Loan,Student,Valencia,39.4699,-0.3763,ATM,EUR,0,68.21,57.62,322,4683.03,,Y
154,4763,25/03/2023 00:00,Deposit,9636.769382,Mortgage,Business,Barcelona,41.3874,2.1686,Branch,EUR,0,0,0,469,1019.83,,Y
155,6232,23/03/2023 00:00,Deposit,1482.420673,Checking Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,760,9780.41,,Y
156,2853,10/04/2025 00:00,Withdrawal,8409.992332,Loan,Standard,Bilbao,43.263,-2.935,Branch,EUR,0,97.6,0,819,7914.15,,Y
157,7585,29/08/2024 00:00,Card Payment,2615.908114,Credit Card,Gold,Murcia,37.9847,-1.1287,Mobile,EUR,0.6,0,0,454,3460.4,,N
158,2291,15/05/2023 00:00,Card Payment,10267.49743,Mortgage,Student,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,445,8931.89,,Y
159,4581,03/05/2023 00:00,Loan Payment,7602.95073,Loan,Gold,Murcia,37.9847,-1.1287,Branch,EUR,0,91.8,187.41,347,7310.3,,N
160,8554,21/04/2024 00:00,Withdrawal,10671.85115,Mortgage,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,815,3304.05,,Y
161,8280,20/02/2023 00:00,Fee,161.2606692,Checking Account,Standard,Valencia,39.4699,-0.3763,ATM,EUR,0,0,0,653,5041.82,,N
162,2636,25/04/2024 00:00,Loan Payment,629.6931116,Savings Account,Platinum,Valencia,39.4699,-0.3763,Online,EUR,0,0,170.35,847,9297.32,,Y
163,4696,19/01/2023 00:00,Transfer,12521.28745,Mortgage,Gold,Murcia,37.9847,-1.1287,Mobile,USD,0,0,0,577,2772.25,,N
164,1698,10/04/2023 00:00,Transfer,2973.676373,Checking Account,Student,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,781,6444.31,,Y
165,5737,10/11/2024 00:00,Withdrawal,10391.06727,Loan,Standard,Murcia,37.9847,-1.1287,Branch,EUR,0,74.53,0,428,5083.44,,N
166,1854,18/05/2025 00:00,Transfer,789.8324628,Loan,Standard,Barcelona,41.3874,2.1686,Mobile,USD,0,89.91,0,757,5159.22,,Y
167,9164,14/12/2023 00:00,Withdrawal,6001.283054,Checking Account,Student,Barcelona,41.3874,2.1686,Mobile,USD,0,0,0,844,5602.92,,N
168,6855,12/07/2024 00:00,Fee,1051.458568,Loan,Standard,Zaragoza,41.6488,-0.8891,Branch,USD,0,31.08,0,757,9721.83,,Y
169,8392,27/04/2024 00:00,Card Payment,5821.531611,Loan,Student,Barcelona,41.3874,2.1686,Branch,EUR,0,85.17,0,642,5864.17,,N
170,7528,30/05/2024 00:00,Fee,11642.06991,Loan,Platinum,Murcia,37.9847,-1.1287,Online,EUR,0,17.7,0,666,4347.97,,Y
171,6249,23/07/2024 00:00,Withdrawal,612.9153096,Checking Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,724,8718.46,,N
172,6172,11/03/2024 00:00,Fee,2739.489699,Checking Account,Standard,Murcia,37.9847,-1.1287,ATM,EUR,0,0,0,444,6818.76,,Y
173,2707,28/09/2024 00:00,Transfer,7730.519737,Mortgage,Standard,Zaragoza,41.6488,-0.8891,ATM,EUR,0,0,0,576,8435.16,,N
174,6791,24/09/2024 00:00,Fee,8798.837387,Credit Card,Standard,Murcia,37.9847,-1.1287,Online,EUR,2.41,0,0,349,3884.35,,Y
